,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,type,NDVI_2000,NDVI_2001,NDVI_2002,NDVI_2003,NDVI_2004,NDVI_2005,NDVI_2006,NDVI_2007,NDVI_2008,NDVI_2009,NDVI_2010,NDVI_2011,NDVI_2013,NDVI_2014,NDVI_2015,NDVI_2016,NDVI_2017,NDVI_2018,NDVI_2019,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023
0,34.3716,-118.9757,323.1,2.0,1.4,2000-11-28,1929,Terra,80,6.03,295.3,50.3,D,0,0.1802102774381637,0.1981460005044937,0.207247108221054,0.2398297935724258,0.2008200287818908,0.0553287155926227,0.092687077820301,0.2177570164203643,0.1212148219347,0.1563649326562881,0.1758974343538284,0.1894029229879379,0.3229968547821045,0.1571573168039322,0.1642411649227142,0.1655832231044769,0.1228654757142067,0.1226146072149276,0.1133616268634796,0.1887680888175964,0.2455364018678665,0.0576809681951999,0.1171073913574218
1,34.4592,-118.8596,328.5,1.0,1.0,2000-12-18,1904,Terra,86,6.03,293.6,26.8,D,0,0.396001785993576,0.4846894741058349,0.4214182496070862,0.525469183921814,0.3312762975692749,0.504999041557312,0.4392643272876739,0.4153972566127777,0.3120253384113312,0.4151563048362732,0.5148104429244995,0.5418971180915833,0.4511602818965912,0.4386953711509704,0.4652334451675415,0.4133418500423431,0.4558342397212982,0.5163845419883728,0.5623869895935059,0.5353248119354248,0.4021404981613159,0.2026822865009308,0.1806893795728683
2,34.4609,-118.8706,324.4,1.0,1.0,2000-12-18,1904,Terra,83,6.03,292.1,21.7,D,0,0.1550868600606918,0.2126782834529876,0.1877280920743942,0.2013967782258987,0.2109237015247345,0.259486585855484,0.1971312314271927,0.2063136249780655,0.2603964209556579,0.2083929032087326,0.2026371508836746,0.2246445566415786,0.2417850643396377,0.2371719032526016,0.1942286342382431,0.2604722082614898,0.2066864371299743,0.2390905171632766,0.229873239994049,0.2259665131568908,0.2237710952758789,0.1121124848723411,0.1236831396818161
3,34.3317,-119.0296,333.3,1.1,1.1,2000-12-25,1910,Terra,88,6.03,290.7,37.7,D,0,0.4357628524303436,0.3466614186763763,0.4334189295768738,0.537519097328186,0.4771151840686798,0.5321820974349976,0.489130437374115,0.4668325185775757,0.5689881443977356,0.5422706604003906,0.5952619910240173,0.5205327272415161,0.5819333791732788,0.652562141418457,0.680647611618042,0.6114484071731567,0.6401590704917908,0.5350756645202637,0.5968000292778015,0.4534100294113159,0.3178795874118805,0.1333029270172119,0.1376079320907592
4,34.3298,-119.0179,321.1,1.1,1.1,2000-12-25,1910,Terra,81,6.03,294.7,20.8,D,0,0.168968915939331,0.198263868689537,0.1618469208478927,0.180770993232727,0.1652914434671402,0.1872555911540985,0.1560778617858886,0.1569797098636627,0.1912008374929428,0.1933204531669616,0.1985793262720108,0.2175502777099609,0.176686942577362,0.1790026128292083,0.1853943169116974,0.1767771244049072,0.1921741813421249,0.177058070898056,0.2271333336830139,0.2300214618444442,0.1702187210321426,0.1168260648846626,0.1266847848892212
5,34.2678,-119.0765,317.2,2.5,1.5,2001-01-22,1934,Terra,77,6.03,289.3,56.4,D,0,0.3117175102233886,0.3041243553161621,0.3177131414413452,0.322511225938797,0.2995552718639374,0.2793229222297668,0.2423810809850692,0.3035236001014709,0.2709302306175232,0.2602091133594513,0.2356315702199936,0.2671857476234436,0.2379321902990341,0.294860690832138,0.2475743293762207,0.2597827017307281,0.2730387151241302,0.307165116071701,0.3010139465332031,0.3326656222343445,0.3240493834018707,0.1538900434970855,0.1648513376712799
6,34.2618,-119.073,313.7,2.5,1.5,2001-01-22,1934,Terra,74,6.03,289.2,42.9,D,0,0.3483223915100097,0.2182620167732238,0.1949541270732879,0.2191912680864334,0.2797263264656067,0.2634913027286529,0.2238069176673889,0.2042530924081802,0.2900513708591461,0.231291577219963,0.316539317369461,0.5029029846191406,0.3668885231018066,0.2825616896152496,0.3955504298210144,0.4430108666419983,0.2331883609294891,0.290996789932251,0.2027583122253418,0.2541580498218536,0.3017752468585968,0.1331260353326797,0.1432025283575058
7,34.0624,-118.8949,324.1,1.0,1.0,2001-04-02,1856,Terra,79,6.03,293.5,19.3,D,0,0.3807452619075775,0.3515467941761017,0.3030795156955719,0.3519619405269623,0.4367007613182068,0.4224615693092346,0.4007521867752075,0.3366625607013702,0.3982473313808441,0.3400656282901764,0.4054287075996399,0.3596185743808746,0.3494475185871124,0.3714965879917145,0.3839611113071441,0.3421685099601745,0.4297445118427276,0.4193548262119293,0.3816549181938171,0.366566389799118,0.3166586458683014,0.164006158709526,0.2066610902547836
8,34.2493,-119.1192,320.5,1.1,1.1,2001-04-16,1908,Terra,72,6.03,300.8,12.8,D,0,0.1886720210313797,0.2127126604318618,0.1876441985368728,0.2753662765026092,0.2721018195152282,0.3376915454864502,0.185628741979599,0.2134249061346054,0.2206349223852157,0.1961763948202133,0.2242582738399505,0.2162315547466278,0.2442660480737686,0.4817397594451904,0.2544938623905182,0.3359917104244232,0.2452452480792999,0.2249466925859451,0.1035543382167816,0.0921140760183334,0.1559779495000839,0.0710362195968627,0.0557889603078365
9,34.2796,-118.9264,320.2,1.1,1.1,2001-05-02,1908,Terra,74,6.03,301.4,13.2,D,0,0.1923743486404419,0.1869887411594391,0.4549627602100372,0.1866405457258224,0.2468669116497039,0.1782447397708892,0.2185288518667221,0.1823017746210098,0.2178217768669128,0.367487221956253,0.2499349862337112,0.216770738363266,0.4532065093517303,0.2075353264808654,0.3538656532764435,0.2465598583221435,0.207251638174057,0.2052652984857559,0.2216530591249466,0.268586665391922,0.2355212420225143,0.1614414006471634,0.21603424847126
